J1 J2 J3 J5 J6
-11.4059 32.2836 71.9066 0.0 0.0
-11.6086 32.3367 71.8227 0.0 0.0
-11.8038 32.4031 71.7183 0.0 0.0
-11.9895 32.4824 71.5941 0.0 0.0
-12.1645 32.5742 71.4512 0.0 0.0
-12.3272 32.6777 71.2908 0.0 0.0
-12.4764 32.7921 71.1146 0.0 0.0
-12.611 32.9169 70.9234 0.0 0.0
-12.7298 33.0509 70.7195 0.0 0.0
-12.8322 33.1933 70.5042 0.0 0.0
-12.9175 33.3429 70.2795 0.0 0.0
-12.9851 33.4989 70.0469 0.0 0.0
-13.0347 33.6598 69.8088 0.0 0.0
-13.0662 33.8246 69.5666 0.0 0.0
-13.0793 33.9922 69.3223 0.0 0.0
-13.0743 34.1609 69.0777 0.0 0.0
-13.0517 34.3298 68.8347 0.0 0.0
-13.0327 34.4175 68.709 0.0 0.0
-13.0045 34.53 68.5485 0.0 0.0
-12.76 35.4467 67.265 0.0 0.0
-12.5243 36.3915 65.9821 0.0 0.0
-12.2971 37.3643 64.6971 0.0 0.0
-12.0777 38.3644 63.4088 0.0 0.0
-11.866 39.3921 62.1145 0.0 0.0
-11.6615 40.4471 60.8129 0.0 0.0
-11.4638 41.5304 59.5017 0.0 0.0
-11.2727 42.642 58.1792 0.0 0.0
-11.0877 43.7833 56.8432 0.0 0.0
-10.9087 44.9551 55.4915 0.0 0.0
-10.7352 46.1586 54.1224 0.0 0.0
-10.5672 47.3959 52.7327 0.0 0.0
-10.4041 48.6685 51.3205 0.0 0.0
-10.246 49.9793 49.8819 0.0 0.0
-10.0927 51.3308 48.4146 0.0 0.0
-9.9438 52.7268 46.914 0.0 0.0
-9.9214 52.9271 46.6998 0.0 0.0
-9.8855 53.1891 46.42 0.0 0.0
-9.8366 53.4465 46.1458 0.0 0.0
-9.7753 53.6969 45.8794 0.0 0.0
-9.7021 53.9388 45.6224 0.0 0.0
-9.6175 54.1702 45.377 0.0 0.0
-9.5222 54.3887 45.1455 0.0 0.0
-9.4172 54.5932 44.929 0.0 0.0
-9.3029 54.7817 44.7299 0.0 0.0
-9.1806 54.9525 44.5497 0.0 0.0
-9.0508 55.1043 44.3896 0.0 0.0
-8.9147 55.2358 44.2509 0.0 0.0
-8.7732 55.346 44.1349 0.0 0.0
-8.6273 55.4338 44.0425 0.0 0.0
-8.4781 55.4988 43.9742 0.0 0.0
-8.3265 55.5397 43.9313 0.0 0.0
-8.1735 55.5566 43.9135 0.0 0.0
-8.0205 55.5493 43.921 0.0 0.0
-7.9429 55.5366 43.9345 0.0 0.0
-7.8408 55.5143 43.958 0.0 0.0
-7.0259 55.3166 44.1659 0.0 0.0
-6.2079 55.1414 44.3505 0.0 0.0
-5.3876 54.9884 44.5118 0.0 0.0
-4.5649 54.8575 44.65 0.0 0.0
-3.7404 54.7485 44.765 0.0 0.0
-2.9144 54.6614 44.8571 0.0 0.0
-2.087 54.596 44.9262 0.0 0.0
-1.259 54.5523 44.9723 0.0 0.0
-0.4302 54.5303 44.9957 0.0 0.0
0.3986 54.5299 44.9961 0.0 0.0
1.2272 54.5508 44.974 0.0 0.0
2.0555 54.5936 44.9286 0.0 0.0
2.8828 54.6582 44.8605 0.0 0.0
3.709 54.7445 44.7693 0.0 0.0
4.5335 54.8526 44.6551 0.0 0.0
5.3562 54.9827 44.5178 0.0 0.0
6.1767 55.1348 44.3574 0.0 0.0
6.9946 55.3092 44.1737 0.0 0.0
7.8098 55.506 43.9666 0.0 0.0
8.6217 55.7254 43.736 0.0 0.0
8.7418 55.757 43.7028 0.0 0.0
8.8939 55.7852 43.6732 0.0 0.0
9.0468 55.789 43.6692 0.0 0.0
9.1992 55.7687 43.6907 0.0 0.0
9.3501 55.7238 43.7378 0.0 0.0
9.4986 55.6554 43.8096 0.0 0.0
9.6438 55.564 43.9057 0.0 0.0
9.7842 55.45 44.0255 0.0 0.0
9.9191 55.3146 44.168 0.0 0.0
10.0477 55.159 44.332 0.0 0.0
10.1686 54.9846 44.5158 0.0 0.0
10.2814 54.7928 44.7183 0.0 0.0
10.3848 54.585 44.9377 0.0 0.0
10.4784 54.3633 45.1724 0.0 0.0
10.5613 54.1292 45.4205 0.0 0.0
10.6327 53.8847 45.6798 0.0 0.0
10.6921 53.6317 45.9486 0.0 0.0
10.7391 53.3723 46.2248 0.0 0.0
10.7588 53.2323 46.3739 0.0 0.0
10.7806 53.0552 46.5629 0.0 0.0
10.9413 51.6527 48.0673 0.0 0.0
11.1068 50.2954 49.5374 0.0 0.0
11.2773 48.9793 50.978 0.0 0.0
11.4531 47.7017 52.3918 0.0 0.0
11.6343 46.4603 53.7818 0.0 0.0
11.8213 45.2527 55.1513 0.0 0.0
12.0143 44.0774 56.5019 0.0 0.0
12.2134 42.9327 57.8369 0.0 0.0
12.4194 41.8176 59.1577 0.0 0.0
12.6322 40.7315 60.4664 0.0 0.0
12.8524 39.6731 61.7652 0.0 0.0
13.0803 38.6424 63.0559 0.0 0.0
13.3162 37.6392 64.34 0.0 0.0
13.5606 36.6631 65.6199 0.0 0.0
13.814 35.7149 66.8971 0.0 0.0
14.0769 34.7944 68.1739 0.0 0.0
14.1128 34.6664 68.355 0.0 0.0
14.1515 34.4975 68.5947 0.0 0.0
14.1728 34.3276 68.8379 0.0 0.0
14.1761 34.1577 69.0823 0.0 0.0
14.1614 33.9893 69.3263 0.0 0.0
14.1286 33.8237 69.5681 0.0 0.0
14.0776 33.662 69.8056 0.0 0.0
14.0088 33.5054 70.0374 0.0 0.0
13.9222 33.3553 70.2611 0.0 0.0
13.8188 33.2124 70.4752 0.0 0.0
13.6992 33.0783 70.6779 0.0 0.0
13.564 32.9535 70.8674 0.0 0.0
13.4141 32.8391 71.0423 0.0 0.0
13.251 32.7359 71.201 0.0 0.0
13.0759 32.6444 71.3423 0.0 0.0
12.8898 32.5656 71.4645 0.0 0.0
12.6948 32.4997 71.5672 0.0 0.0
12.4921 32.4474 71.6489 0.0 0.0
12.3809 32.425 71.6841 0.0 0.0
12.24 32.4001 71.723 0.0 0.0
11.1079 32.2297 71.9917 0.0 0.0
9.9671 32.0769 72.2348 0.0 0.0
8.8181 31.9415 72.4522 0.0 0.0
7.6621 31.8233 72.6433 0.0 0.0
6.4996 31.7222 72.8079 0.0 0.0
5.3317 31.6381 72.9457 0.0 0.0
4.1595 31.5709 73.0564 0.0 0.0
2.9836 31.5204 73.1398 0.0 0.0
1.8055 31.4867 73.1959 0.0 0.0
0.6255 31.4695 73.2242 0.0 0.0
-0.5549 31.4692 73.2248 0.0 0.0
-1.7347 31.4853 73.198 0.0 0.0
-2.9132 31.5181 73.1437 0.0 0.0
-4.089 31.5676 73.062 0.0 0.0
-5.2616 31.6338 72.9529 0.0 0.0
-6.4299 31.7169 72.8167 0.0 0.0
-7.5925 31.8169 72.6537 0.0 0.0
-8.7491 31.9341 72.4641 0.0 0.0
-9.8983 32.0685 72.2484 0.0 0.0
-11.0398 32.2203 72.0067 0.0 0.0
-10.7695 33.0521 70.7176 0.0 0.0
-10.5096 33.9149 69.4347 0.0 0.0
-9.4239 33.7815 69.6299 0.0 0.0
-8.3326 33.6653 69.8008 0.0 0.0
-7.2358 33.5663 69.9471 0.0 0.0
-6.1349 33.4841 70.069 0.0 0.0
-5.0302 33.4189 70.1662 0.0 0.0
-3.9229 33.3705 70.2384 0.0 0.0
-2.8134 33.3391 70.2853 0.0 0.0
-1.703 33.3243 70.3074 0.0 0.0
-0.592 33.3263 70.3044 0.0 0.0
0.5182 33.3451 70.2763 0.0 0.0
1.6273 33.3809 70.2228 0.0 0.0
2.7342 33.4333 70.1446 0.0 0.0
3.838 33.5026 70.0416 0.0 0.0
4.9381 33.5888 69.9137 0.0 0.0
6.0334 33.6922 69.7611 0.0 0.0
7.1236 33.8126 69.5844 0.0 0.0
8.2075 33.9501 69.3835 0.0 0.0
9.2847 34.1051 69.1585 0.0 0.0
10.3543 34.2772 68.91 0.0 0.0
11.4159 34.467 68.6384 0.0 0.0
11.2062 35.362 67.3818 0.0 0.0
11.004 36.2843 66.1258 0.0 0.0
10.8088 37.2331 64.8686 0.0 0.0
10.6205 38.2078 63.6085 0.0 0.0
10.4384 39.2086 62.3436 0.0 0.0
10.2625 40.2357 61.0717 0.0 0.0
10.0923 41.2893 59.7913 0.0 0.0
9.9276 42.3697 58.501 0.0 0.0
9.7682 43.4779 57.1986 0.0 0.0
9.6137 44.615 55.8817 0.0 0.0
9.464 45.7821 54.5487 0.0 0.0
9.3188 46.9803 53.1976 0.0 0.0
9.1781 48.2116 51.8255 0.0 0.0
9.0414 49.4784 50.4297 0.0 0.0
8.9087 50.783 49.0075 0.0 0.0
8.7799 52.128 47.5557 0.0 0.0
7.9571 51.9276 47.7713 0.0 0.0
7.1308 51.7475 47.9651 0.0 0.0
6.3017 51.5877 48.1372 0.0 0.0
5.4699 51.4481 48.2878 0.0 0.0
4.6356 51.3286 48.417 0.0 0.0
3.7996 51.229 48.5245 0.0 0.0
2.9619 51.1494 48.6107 0.0 0.0
2.1227 51.0895 48.6754 0.0 0.0
1.2829 51.0495 48.7188 0.0 0.0
0.4424 51.0292 48.7407 0.0 0.0
-0.3984 51.0287 48.7413 0.0 0.0
-1.2388 51.0479 48.7204 0.0 0.0
-2.0799 51.087 48.6782 0.0 0.0
-2.9203 51.1459 48.6144 0.0 0.0
-3.7593 51.2247 48.5291 0.0 0.0
-4.5969 51.3235 48.4224 0.0 0.0
-5.4323 51.4423 48.2941 0.0 0.0
-6.2655 51.5812 48.1442 0.0 0.0
-7.0962 51.7404 47.9727 0.0 0.0
-7.9236 51.9198 47.7795 0.0 0.0
-8.0402 50.5783 49.2298 0.0 0.0
-8.1604 49.2767 50.651 0.0 0.0
-8.2841 48.0126 52.0463 0.0 0.0
-8.4116 46.7836 53.4181 0.0 0.0
-8.543 45.5876 54.7697 0.0 0.0
-8.6786 44.4225 56.1034 0.0 0.0
-8.8186 43.2872 57.4213 0.0 0.0
-8.963 42.1807 58.7252 0.0 0.0
-9.1123 41.1019 60.0174 0.0 0.0
-9.2666 40.0498 61.3 0.0 0.0
-9.4261 39.0242 62.5745 0.0 0.0
-9.5912 38.025 63.8425 0.0 0.0
-9.762 37.0519 65.1062 0.0 0.0
-9.9391 36.1049 66.3675 0.0 0.0
-10.1226 35.1844 67.6281 0.0 0.0
-10.3129 34.2914 68.8898 0.0 0.0
-9.245 34.1402 69.1077 0.0 0.0
-8.1705 34.006 69.302 0.0 0.0
-7.09 33.8889 69.4726 0.0 0.0
-6.0046 33.7888 69.6192 0.0 0.0
-4.9149 33.7055 69.7415 0.0 0.0
-3.8216 33.6391 69.8395 0.0 0.0
-2.7255 33.5893 69.9129 0.0 0.0
-1.6272 33.5563 69.9618 0.0 0.0
-0.5279 33.54 69.9861 0.0 0.0
0.5718 33.5403 69.9855 0.0 0.0
1.6711 33.5573 69.9603 0.0 0.0
2.7691 33.591 69.9105 0.0 0.0
3.8653 33.6414 69.8361 0.0 0.0
4.9585 33.7085 69.7371 0.0 0.0
6.048 33.7925 69.6138 0.0 0.0
7.1332 33.8933 69.4663 0.0 0.0
8.2133 34.011 69.2947 0.0 0.0
9.2878 34.1459 69.0994 0.0 0.0
10.3554 34.2978 68.8806 0.0 0.0
11.4159 34.467 68.6384 0.0 0.0
11.5296 34.4043 68.728 0.0 0.0
11.6808 34.3217 68.8463 0.0 0.0
11.4602 35.2352 67.5576 0.0 0.0
11.2477 36.177 66.2702 0.0 0.0
11.0428 37.1467 64.9817 0.0 0.0
10.8451 38.1442 63.6899 0.0 0.0
10.6543 39.169 62.393 0.0 0.0
10.4701 40.2212 61.0894 0.0 0.0
10.292 41.3012 59.777 0.0 0.0
10.1198 42.4099 58.4534 0.0 0.0
9.9533 43.5479 57.117 0.0 0.0
9.7921 44.7159 55.7659 0.0 0.0
9.6359 45.9155 54.3975 0.0 0.0
9.4846 47.1485 53.0091 0.0 0.0
9.338 48.4168 51.5985 0.0 0.0
9.1958 49.7222 50.1629 0.0 0.0
9.0578 51.0679 48.6989 0.0 0.0
8.9239 52.4574 47.2023 0.0 0.0
8.0898 52.2485 47.4264 0.0 0.0
7.2525 52.0609 47.6279 0.0 0.0
6.4119 51.8944 47.807 0.0 0.0
5.5684 51.7488 47.9636 0.0 0.0
4.7228 51.6241 48.098 0.0 0.0
3.8748 51.5202 48.2101 0.0 0.0
3.0252 51.4369 48.3 0.0 0.0
2.1745 51.3743 48.3676 0.0 0.0
1.3225 51.3322 48.4131 0.0 0.0
0.47 51.3106 48.4364 0.0 0.0
-0.3825 51.3095 48.4375 0.0 0.0
-1.235 51.329 48.4165 0.0 0.0
-2.0954 51.3695 48.3728 0.0 0.0
-2.955 51.431 48.3064 0.0 0.0
-3.813 51.5134 48.2174 0.0 0.0
-4.6696 51.617 48.1057 0.0 0.0
-5.5239 51.7417 47.9713 0.0 0.0
-6.3759 51.8877 47.8141 0.0 0.0
-7.225 52.0551 47.6341 0.0 0.0
-8.0709 52.244 47.4312 0.0 0.0
-8.1924 50.8582 48.926 0.0 0.0
-8.3175 49.5157 50.3889 0.0 0.0
-8.4466 48.2131 51.8238 0.0 0.0
-8.5797 46.9475 53.2344 0.0 0.0
