J1 J2 J3 J5 J6
7.6532 11.0483 43.1352 0.0309 13.7165
5.0259 10.4956 42.1457 0.0282 6.3004
-4.6912 10.7118 42.3831 -0.3072 -8.8814
-9.5985 12.6204 45.6613 -0.3513 -23.1309
-6.2678 13.5301 45.1659 -1.1139 -8.2285
-5.318 20.2457 42.8865 -0.82 -6.4189
-5.429 27.0176 39.7596 -0.4897 -8.2192
-5.4398 26.797 39.494 -0.4703 -8.2603
-8.4951 26.0874 40.0003 -0.035 -23.728
-5.4974 24.8669 37.735 -0.0321 -13.536
-3.3071 24.4692 36.9353 -0.0294 -6.4051
5.2446 24.4885 37.1698 0.3201 8.7679
9.3254 25.8715 39.7412 0.3639 22.4523
6.546 26.0018 39.5316 1.0932 8.1251
6.4952 19.9843 42.5882 0.8122 6.3947
7.5924 12.9249 45.3452 0.4703 8.2603
11.122 12.486 45.6129 0.035 23.728
7.6653 10.8808 42.8941 0.0321 13.536
5.1402 10.3543 41.947 0.0294 6.4051
-4.7313 10.563 42.1619 -0.3201 -8.7679
-9.4501 12.3468 45.2449 -0.3639 -22.4523
-6.2364 13.2542 44.8293 -1.0932 -8.1251
-5.3267 19.7242 42.6984 -0.8122 -6.3947
-5.4398 26.797 39.494 -0.4703 -8.2603
-5.4505 26.5776 39.2279 -0.4509 -8.301
-8.3577 25.8663 39.6501 -0.0361 -23.0093
-5.5078 24.7362 37.5392 -0.0333 -13.3546
-3.6051 24.3788 36.8255 -0.0307 -7.2626
5.2789 24.3634 36.9926 0.3331 8.6534
9.1729 25.6455 39.3893 0.375 21.6789
6.5189 25.8023 39.2515 1.0726 8.0221
6.4697 20.0255 42.1622 0.8044 6.3708
7.6047 12.6626 45.0007 0.4509 8.301
10.963 12.1993 45.1833 0.0361 23.0093
7.6771 10.7145 42.6533 0.0333 13.3546
5.4836 10.2413 41.8079 0.0307 7.2626
-4.7711 10.4152 41.9408 -0.3331 -8.6534
-9.2737 12.0662 44.8107 -0.375 -21.6788
-6.2052 12.9802 44.4928 -1.0726 -8.0221
-5.3356 19.2015 42.5059 -0.8044 -6.3708
-5.4505 26.5776 39.2279 -0.4509 -8.301
-5.4611 26.3596 38.9612 -0.4318 -8.3414
-8.2459 25.6607 39.327 -0.0372 -22.3983
-5.518 24.6063 37.3434 -0.0345 -13.1722
-3.6969 24.2674 36.6635 -0.032 -7.3395
5.3131 24.239 36.8153 0.3462 8.538
9.0411 25.4321 39.0603 0.3877 20.9919
15.9922 32.3092 49.4468 0.4714 49.2945
6.4444 20.0705 41.7376 0.7966 6.3469
7.6169 12.402 44.6561 0.4318 8.3414
10.8336 11.9335 44.7871 0.0372 22.3983
7.6885 10.5494 42.4127 0.0345 13.1722
5.5894 10.1009 41.6079 0.032 7.3395
-4.8106 10.2686 41.7199 -0.3462 -8.538
-9.1212 11.8039 44.4038 -0.3877 -20.9919
-17.1814 20.8196 57.3545 -0.4714 -49.2946
-5.3446 18.6775 42.3089 -0.7966 -6.3469
-5.4611 26.3596 38.9612 -0.4318 -8.3414
-16.528 35.9502 53.8809 -0.0512 -59.8761
-8.1329 25.4586 39.0065 -0.0384 -21.7845
-3.7889 24.1565 36.5014 -0.0332 -7.417
5.3469 24.1153 36.6379 0.3594 8.4215
8.9074 25.2224 38.7343 0.4003 20.3004
15.7059 31.585 48.5575 0.4818 47.6972
6.4192 20.119 41.3142 0.789 6.3232
